Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
07/22/2020,386.77,391.9,386.41,389.09,22251758,73.62,12.49,13.15,-0.66,/,/
07/23/2020,387.9935,388.31,368.039,371.38,49253295,55.15,10.58,12.64,-2.06,/,/
07/24/2020,363.95,371.88,356.58,370.46,46561069,47.26,8.89,11.89,-3.0,/,/
07/27/2020,374.84,379.62,373.92,379.24,30313973,54.72,8.17,11.15,-2.98,/,/
07/28/2020,377.47,378.1986,372.99,373.01,26107303,43.76,7.02,10.32,-3.3,/,/
07/29/2020,374.98,380.92,374.85,380.16,22582339,48.23,6.6,9.58,-2.98,/,/
07/30/2020,376.75,385.19,375.07,384.76,39534805,50.71,6.57,8.98,-2.41,/,/
07/31/2020,411.535,425.66,403.3,425.04,94392823,68.77,9.68,9.12,0.56,/,/
08/03/2020,432.8,446.5457,431.57,435.75,77041719,69.92,12.86,9.87,2.99,/,/
08/04/2020,436.53,443.16,433.55,438.66,43405302,69.98,15.44,10.98,4.46,/,/
08/05/2020,437.51,441.57,435.59,440.25,30498519,73.28,17.41,12.27,5.14,/,/
08/06/2020,441.62,457.65,439.19,455.61,50640496,76.86,19.98,13.81,6.17,/,/
08/07/2020,452.82,454.7,441.17,444.45,49511645,69.05,20.87,15.22,5.65,/,/
08/10/2020,450.325,455.1,440.0,450.91,53100951,73.31,21.85,16.55,5.3,/,/
08/11/2020,447.875,449.93,436.4267,437.5,46976130,66.44,21.3,17.5,3.8,/,/
08/12/2020,441.99,453.1,441.19,452.04,41486486,77.99,21.79,18.36,3.43,/,/
08/13/2020,457.72,464.17,455.71,460.04,52521771,79.63,22.56,19.2,3.36,/,/
08/14/2020,459.315,460.0,452.18,459.63,41393025,78.15,22.88,19.94,2.94,/,/
08/17/2020,464.25,464.35,455.8501,458.43,29891032,81.0,22.77,20.51,2.26,/,/
08/18/2020,457.41,464.0,456.03,462.25,26420400,80.53,22.73,20.95,1.78,/,/
08/19/2020,463.933,468.65,462.44,462.83,36391173,79.93,22.48,21.26,1.22,/,/
08/20/2020,463.0,473.568,462.9335,473.1,31740381,73.93,22.85,21.58,1.27,/,/
08/21/2020,477.05,499.472,477.0,497.48,84526477,77.05,24.82,22.23,2.59,/,/
08/24/2020,514.79,515.14,495.745,503.43,86492416,77.65,26.56,23.1,3.46,/,/
08/25/2020,498.79,500.7172,492.21,499.3,52874755,74.67,27.29,23.94,3.35,/,/
08/26/2020,504.7165,507.97,500.33,506.09,40753116,72.72,28.09,24.77,3.32,/,/
08/27/2020,508.57,509.94,495.33,500.04,38888321,76.22,27.92,25.4,2.52,/,/
08/28/2020,504.05,505.77,498.31,499.23,46908342,74.08,27.4,25.8,1.6,/,/
08/31/2020,127.58,131.0,126.0,129.04,225795875,16.26,-2.85,20.07,-22.92,127.58,/
09/01/2020,132.76,134.8,130.53,134.18,152880540,14.5,-26.11,10.83,-36.94,/,/
09/02/2020,137.59,137.98,127.0,131.4,200393336,12.87,-44.25,-0.19,-44.06,/,/
09/03/2020,126.91,128.84,120.5,120.88,257604126,12.58,-58.81,-11.91,-46.9,/,/
09/04/2020,120.1,123.7,110.89,120.96,332632509,12.63,-69.53,-23.43,-46.1,/,/
09/08/2020,114.16,118.99,112.68,112.82,231598461,11.67,-77.79,-34.3,-43.49,/,/
09/09/2020,117.26,119.14,115.26,117.32,176969416,12.42,-83.01,-44.04,-38.97,/,/
09/10/2020,120.36,120.5,112.5,113.42,182314907,10.33,-86.47,-52.53,-33.94,/,/
09/11/2020,114.57,115.23,110.0,112.0,180861505,5.22,-88.31,-59.69,-28.62,/,/
09/14/2020,114.72,115.93,112.8,115.355,140153151,4.64,-88.48,-65.45,-23.03,/,/
09/15/2020,118.33,118.829,113.61,115.54,184699355,4.73,-87.59,-69.88,-17.71,/,/
09/16/2020,115.23,116.0,112.04,112.17,155049019,3.15,-86.16,-73.14,-13.02,/,/
09/17/2020,109.72,112.2,108.71,110.34,177718533,3.19,-84.21,-75.35,-8.86,/,/
09/18/2020,110.4,110.88,106.09,106.84,287167821,3.17,-82.0,-76.68,-5.32,/,/
09/21/2020,104.54,110.19,103.1,110.08,195769327,31.76,-79.07,-77.16,-1.91,/,/
09/22/2020,112.68,112.86,109.16,111.81,183094843,26.96,-75.74,-76.88,1.14,/,/
09/23/2020,111.62,112.11,106.77,107.12,150719279,25.94,-72.64,-76.03,3.39,/,/
09/24/2020,105.17,110.25,105.0,108.22,167744104,34.58,-69.3,-74.68,5.38,/,/
09/25/2020,108.44,112.44,107.67,112.29,149982394,40.37,-65.57,-72.86,7.29,/,/
09/28/2020,115.01,115.32,112.78,114.96,137674148,52.7,-61.68,-70.62,8.94,/,/
09/29/2020,114.55,115.31,113.57,114.09,100066778,45.51,-58.01,-68.1,10.09,/,/
09/30/2020,113.79,117.26,113.62,115.81,142675472,53.54,-54.33,-65.35,11.02,/,/
10/01/2020,117.64,117.72,115.83,116.85,116120542,57.27,-50.74,-62.43,11.69,/,/
10/02/2020,112.89,115.37,112.22,113.02,144715025,46.55,-47.65,-59.47,11.82,/,/
10/05/2020,113.91,116.65,113.55,116.5,106244204,51.29,-44.42,-56.46,12.04,/,/
10/06/2020,115.7,116.12,112.25,113.16,161504084,51.33,-41.64,-53.5,11.86,/,/
10/07/2020,114.62,115.55,114.13,115.08,96850095,56.37,-38.84,-50.57,11.73,/,/
10/08/2020,116.28,116.4,114.5901,114.97,83477153,62.02,-36.21,-47.7,11.49,/,/
10/09/2020,115.28,117.0,114.92,116.97,100506954,60.58,-33.58,-44.88,11.3,/,/
10/12/2020,120.06,125.18,119.2845,124.42,240229938,66.47,-30.55,-42.01,11.46,/,/
10/13/2020,125.27,125.39,119.65,121.1,262361932,68.93,-28.09,-39.23,11.14,/,/
10/14/2020,121.0,123.03,119.62,121.19,151063843,68.06,-25.84,-36.55,10.71,/,/
10/15/2020,118.72,121.2,118.15,120.71,112618950,63.03,-23.81,-34.0,10.19,/,/
10/16/2020,121.28,121.548,118.81,119.02,115394561,56.48,-22.09,-31.62,9.53,/,/
10/19/2020,119.96,120.419,115.66,115.98,120639923,52.82,-20.73,-29.44,8.71,/,/
10/20/2020,116.2,118.98,115.63,117.51,124424761,52.55,-19.3,-27.41,8.11,/,/
10/21/2020,116.67,118.705,116.45,116.87,89946704,50.03,-18.02,-25.53,7.51,/,/
10/22/2020,117.45,118.04,114.59,115.75,101989340,54.52,-16.9,-23.8,6.9,/,/
10/23/2020,116.39,116.55,114.28,115.04,82773318,47.34,-15.89,-22.22,6.33,/,/
10/26/2020,114.01,116.55,112.88,115.05,111850917,53.92,-14.91,-20.76,5.85,/,/
10/27/2020,115.49,117.28,114.5399,116.6,92297793,53.2,-13.85,-19.38,5.53,/,/
10/28/2020,115.05,115.43,111.1,111.2,143938025,43.51,-13.29,-18.16,4.87,/,/
10/29/2020,112.37,116.93,112.2,115.32,146154895,47.35,-12.37,-17.0,4.63,/,/
10/30/2020,111.06,111.99,107.72,108.86,190573752,24.2,-12.02,-16.0,3.98,/,/
11/02/2020,109.11,110.68,107.32,108.77,122870868,27.11,-11.62,-15.12,3.5,/,/
11/03/2020,109.65,111.49,108.73,110.44,107629366,31.15,-11.05,-14.31,3.26,/,/
11/04/2020,114.14,115.59,112.35,114.95,138241382,41.15,-10.11,-13.47,3.36,/,/
11/05/2020,117.95,119.62,116.8686,119.03,126387181,50.01,-8.94,-12.56,3.62,/,/
11/06/2020,118.32,119.2,116.13,118.69,114463445,54.2,-7.94,-11.64,3.7,/,/
