Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
2020-06-25,954.27,985.98,937.15,985.98,9262550,62.03,46.84,51.78,-4.94,/,0.0
2020-06-26,994.78,995.0,954.87,959.74,8854958,51.3,42.37,49.9,-7.53,/,0.0
2020-06-29,969.01,1010.0,948.5201,1009.35,9027408,58.19,42.35,48.39,-6.04,/,0.0
2020-06-30,1006.5,1087.69,1003.73,1079.81,16918501,56.75,47.47,48.21,-0.74,/,0.0
2020-07-01,1083.0,1135.33,1080.5,1119.63,13326897,68.67,54.12,49.39,4.73,/,0.0
2020-07-02,1221.48,1228.0,1185.6,1208.66,17250127,80.75,65.81,52.67,13.14,/,0.0
2020-07-06,1276.69,1377.79,1266.044,1371.58,20570284,84.49,87.22,59.58,27.64,/,0.0
2020-07-07,1405.01,1429.5,1336.71,1389.86,21493299,86.32,104.45,68.55,35.9,/,0.0
2020-07-08,1405.0,1417.26,1311.34,1365.88,16319833,82.49,114.85,77.81,37.04,/,0.0
2020-07-09,1396.99,1408.56,1351.28,1394.28,11717710,82.97,123.96,87.04,36.92,/,0.0
2020-07-10,1396.0,1548.915,1376.0101,1544.65,23346353,86.78,141.68,97.97,43.71,/,0.0
2020-07-13,1659.0,1794.99,1471.1101,1497.06,38996185,82.22,150.15,108.41,41.74,/,0.0
2020-07-14,1556.0,1590.0,1431.0,1516.8,23429302,82.49,156.64,118.06,38.58,/,0.0
2020-07-15,1543.0,1550.0,1457.0,1546.01,16368689,87.47,162.28,126.9,35.38,/,0.0
2020-07-16,1477.16,1531.71,1466.0,1500.64,14300795,82.13,161.23,133.77,27.46,/,0.0
2020-07-17,1513.45,1537.51,1490.0,1500.84,9332637,84.91,158.58,138.73,19.85,/,0.0
2020-07-20,1519.01,1650.0,1488.0,1643.0,17140645,86.52,166.04,144.19,21.85,/,0.0
2020-07-21,1639.93,1675.0,1558.0,1568.36,16193302,78.02,164.04,148.16,15.88,/,0.0
2020-07-22,1599.0,1626.42,1562.0,1592.33,14161512,77.62,162.51,151.03,11.48,/,0.0
2020-07-23,1678.95,1689.0,1480.77,1513.07,24328697,67.99,153.14,151.45,1.69,/,0.0
2020-07-24,1416.01,1465.0,1366.5401,1417.0,19397409,52.91,136.4,148.44,-12.04,/,0.0
2020-07-27,1435.0,1547.94,1413.0003,1539.6,16048671,58.47,131.5,145.05,-13.55,/,0.0
2020-07-28,1504.0,1564.7,1474.42,1476.49,15808711,55.99,121.13,140.27,-19.14,/,0.0
2020-07-29,1501.0,1534.81,1487.0,1499.11,9426893,55.72,113.43,134.9,-21.47,/,0.0
2020-07-30,1488.0,1513.24,1471.0,1487.49,7621111,46.33,105.18,128.96,-23.78,/,0.0
2020-07-31,1515.0,1517.05,1420.98,1430.76,12247338,45.79,92.99,121.77,-28.78,/,0.0
2020-08-03,1449.2,1509.8101,1444.3844,1485.0,8809359,48.07,86.7,114.76,-28.06,/,0.0
2020-08-04,1495.01,1527.41,1462.0,1487.0,8410015,46.29,80.94,108.0,-27.06,/,0.0
2020-08-05,1492.99,1499.8384,1468.31,1485.02,4978015,48.96,75.35,101.47,-26.12,/,0.0
2020-08-06,1490.83,1517.31,1477.26,1489.58,5992313,49.25,70.48,95.27,-24.79,/,0.0
2020-08-07,1499.5365,1499.75,1415.01,1452.71,8897817,35.37,62.92,88.8,-25.88,/,0.0
2020-08-10,1448.0,1457.5,1385.84,1418.57,7522264,37.72,53.56,81.75,-28.19,/,0.0
2020-08-11,1396.0,1420.0,1365.0,1374.39,8625840,32.7,42.09,73.82,-31.73,/,0.0
2020-08-12,1470.0,1585.0,1435.0,1554.76,21899106,52.85,47.01,68.46,-21.45,/,0.0
2020-08-13,1611.0,1651.18,1567.26,1621.0,20426710,64.55,55.61,65.89,-10.28,/,0.0
2020-08-14,1664.99,1668.8,1626.64,1650.71,12577786,59.13,64.08,65.53,-1.45,/,0.0
2020-08-17,1677.0,1845.86,1672.83,1835.64,20242597,74.59,84.75,69.37,15.38,/,0.0
2020-08-18,1898.99,1923.9,1845.11,1887.09,16481492,75.56,104.08,76.31,27.77,/,0.0
2020-08-19,1865.0,1911.0,1841.21,1878.53,12205473,75.86,117.36,84.52,32.84,/,0.0
2020-08-20,1860.68,2021.99,1857.06,2001.83,20611934,84.71,136.26,94.87,41.39,/,0.0
2020-08-21,2044.76,2095.49,2025.05,2049.98,21489743,84.6,153.35,106.57,46.78,/,0.0
2020-08-24,2126.275,2129.0,1927.52,2014.2,20073326,81.0,162.14,117.68,44.46,/,0.0
2020-08-25,1974.89,2027.95,1968.0,2023.34,10658909,81.39,167.91,127.73,40.18,/,0.0
2020-08-26,2060.0,2166.0,2053.6291,2153.17,14239384,83.77,180.87,138.36,42.51,/,0.0
2020-08-27,2180.46,2295.6,2142.5,2238.75,23693083,88.11,195.79,149.85,45.94,/,0.0
2020-08-28,2295.12,2318.49,2186.52,2213.4,20146652,88.86,203.23,160.53,42.7,/,0.0
2020-08-31,444.61,500.14,440.11,498.32,118424529,33.74,69.93,142.41,-72.48,5/1,0.0
2020-09-01,502.14,502.49,470.51,475.05,90270040,28.72,-37.17,106.49,-143.66,/,0.0
2020-09-02,478.99,479.04,405.1206,447.37,96583753,26.51,-122.86,60.62,-183.48,/,0.0
2020-09-03,407.23,431.8,402.0,407.0,87635747,25.21,-191.82,10.13,-201.95,/,0.0
2020-09-04,402.81,428.0,372.0201,418.32,110323962,19.65,-242.76,-40.45,-202.31,/,0.0
2020-09-08,356.0,368.74,329.88,330.21,115477579,17.18,-286.93,-89.75,-197.18,/,0.0
2020-09-09,356.6,369.0,341.51,366.28,79473343,18.48,-315.38,-134.88,-180.5,/,0.0
2020-09-10,386.21,398.99,360.56,371.34,84931238,14.26,-333.68,-174.64,-159.04,/,0.0
2020-09-11,381.94,382.5,360.5,372.72,60717493,12.46,-344.1,-208.53,-135.57,/,0.0
2020-09-14,380.95,420.0,373.3,419.62,83021062,14.49,-344.6,-235.74,-108.86,/,0.0
2020-09-15,436.56,461.94,430.7,449.76,97298511,15.28,-338.66,-256.32,-82.34,/,0.0
2020-09-16,439.87,457.79,435.31,441.76,72554963,10.09,-330.79,-271.21,-59.58,/,0.0
2020-09-17,415.6,437.79,408.0001,423.43,76779427,6.3,-322.31,-281.43,-40.88,/,0.0
2020-09-18,447.94,451.0,428.8,442.15,86407031,7.23,-310.51,-287.25,-23.26,/,0.0
2020-09-21,453.13,455.68,407.07,449.39,109477152,43.25,-297.14,-289.23,-7.91,/,0.0
2020-09-22,429.6,437.76,417.6001,424.23,79580811,43.03,-285.29,-288.44,3.15,/,0.0
2020-09-23,405.16,412.15,375.8801,380.36,95373118,41.2,-276.25,-286.0,9.75,/,0.0
2020-09-24,363.8,399.5,351.3,387.79,96561061,47.24,-265.43,-281.89,16.46,/,0.0
2020-09-25,393.47,408.7323,391.3,407.34,67208600,48.46,-252.37,-275.99,23.62,/,0.0
2020-09-28,424.62,428.08,415.55,421.2,49719963,66.15,-238.16,-268.42,30.26,/,0.0
2020-09-29,416.0,428.5,411.6,419.07,50341531,60.65,-224.48,-259.63,35.15,/,0.0
2020-09-30,421.32,433.93,420.47,429.01,48149710,61.41,-210.41,-249.79,39.38,/,0.0
2020-10-01,440.76,448.88,434.42,448.16,50741875,63.95,-195.46,-238.92,43.46,/,0.0
2020-10-02,421.39,439.13,415.0,415.09,71430276,49.12,-184.15,-227.97,43.82,/,0.0
2020-10-05,423.35,433.64,419.33,425.68,44722809,44.92,-172.35,-216.85,44.5,/,0.0
2020-10-06,423.79,428.7799,406.05,413.98,49146554,44.23,-162.08,-205.9,43.82,/,0.0
2020-10-07,419.87,429.9,413.845,425.3,43127759,50.4,-151.28,-194.98,43.7,/,0.0
2020-10-08,438.57,439.0,425.3,425.92,40421127,46.24,-141.04,-184.19,43.15,/,0.0
2020-10-09,430.13,434.5899,426.4601,433.95,29234319,46.43,-130.77,-173.51,42.74,/,0.0
2020-10-12,442.0,448.74,438.58,442.3,38793366,54.53,-120.57,-162.92,42.35,/,0.0
2020-10-13,443.35,448.89,436.6,446.65,34527765,70.7,-110.85,-152.51,41.66,/,0.0
2020-10-14,449.78,465.9,447.35,461.3,48045473,71.97,-100.81,-142.17,41.36,/,0.0
2020-10-15,450.31,456.57,442.5,448.88,35672354,62.97,-92.79,-132.29,39.5,/,0.0
2020-10-16,454.44,455.9499,438.85,439.67,32775881,55.94,-86.18,-123.07,36.89,/,0.0
2020-10-19,446.24,447.0,428.87,430.83,36287843,53.62,-80.72,-114.6,33.88,/,0.0
2020-10-20,431.75,431.75,419.0501,421.94,31656385,47.81,-76.23,-106.93,30.7,/,0.0
2020-10-21,422.7,432.95,421.25,422.64,32373590,41.06,-71.79,-99.9,28.11,/,0.0
2020-10-22,441.92,445.23,424.51,425.79,40003604,54.74,-67.25,-93.37,26.12,/,0.0
2020-10-23,421.59,422.8859,407.3801,420.63,33718180,47.65,-63.33,-87.36,24.03,/,0.0
2020-10-26,411.63,425.76,410.0,420.28,28268522,53.28,-59.57,-81.8,22.23,/,0.0
2020-10-27,423.65,430.5,420.1,424.68,22686536,49.65,-55.59,-76.56,20.97,/,0.0
2020-10-28,416.3,418.6,406.0,406.02,25451834,40.71,-53.33,-71.91,18.58,/,0.0
2020-10-29,409.96,418.06,406.46,410.83,22655452,38.88,-50.57,-67.64,17.07,/,0.0
2020-10-30,406.8954,407.5915,379.11,388.04,42587646,27.08,-49.64,-64.04,14.4,/,0.0
2020-11-02,394.0,406.9799,392.3,400.51,29049202,31.76,-47.36,-60.7,13.34,/,0.0
2020-11-03,409.73,427.77,406.69,423.9,34355396,36.17,-43.17,-57.19,14.02,/,0.0
2020-11-04,430.62,435.4,417.1,420.84,32147057,38.86,-39.64,-53.68,14.04,/,0.0
2020-11-05,428.3,440.0,424.0001,438.09,28414638,49.41,-35.05,-49.95,14.9,/,0.0
2020-11-06,436.1,436.57,424.28,429.95,21706979,49.67,-31.7,-46.3,14.6,/,0.0
2020-11-09,439.5,452.5,421.0,421.26,34856935,49.74,-29.4,-42.92,13.52,/,0.0
2020-11-10,420.09,420.09,396.0301,410.36,30284225,45.71,-28.13,-39.96,11.83,/,0.0
2020-11-11,416.45,418.695,410.58,417.13,17357922,47.05,-26.28,-37.22,10.94,/,0.0
2020-11-12,415.05,423.0,409.52,411.76,19940976,46.98,-24.96,-34.77,9.81,/,0.0
2020-11-13,410.85,412.5319,401.66,408.5,19830514,46.07,-23.9,-32.6,8.7,/,0.0
2020-11-16,408.93,412.45,404.0868,408.09,26838710,44.32,-22.83,-30.65,7.82,/,0.0
2020-11-17,460.17,462.0,433.01,441.61,61253328,61.06,-19.06,-28.33,9.27,/,0.0
2020-11-18,448.35,496.0,443.5001,486.64,78055533,68.85,-12.3,-25.12,12.82,/,0.0
2020-11-19,492.0,508.6112,487.57,499.27,62806684,79.13,-5.85,-21.27,15.42,/,0.0
2020-11-20,497.99,502.5,489.06,489.61,32928177,73.69,-1.5,-17.32,15.82,/,0.0
2020-11-23,503.5,526.0,501.79,521.49,50644659,74.82,4.46,-12.96,17.42,/,0.0
2020-11-24,540.4,559.99,526.2,555.38,53642060,79.58,11.79,-8.01,19.8,/,0.0
2020-11-25,550.06,574.0,545.37,574.0,49006809,79.7,18.88,-2.63,21.51,/,0.0
2020-11-27,581.16,598.78,578.45,585.76,37561154,83.52,25.16,2.93,22.23,/,0.0
2020-11-30,602.21,607.8,554.51,567.6,63009218,80.25,28.35,8.01,20.34,/,0.0
2020-12-01,597.59,597.85,572.05,584.76,40383124,85.14,31.89,12.79,19.1,/,0.0
2020-12-02,556.44,571.54,541.21,568.82,47776283,79.48,33.03,16.84,16.19,/,0.0
2020-12-03,590.02,598.97,582.43,593.38,42552535,82.85,35.5,20.57,14.93,/,0.0
2020-12-04,591.01,599.04,585.5,599.04,29401551,84.16,37.48,23.95,13.53,/,0.0
2020-12-07,604.9197,648.7856,603.05,641.76,56311730,86.38,42.01,27.56,14.45,/,0.0
2020-12-08,625.505,651.28,618.5,649.88,64268769,85.21,45.73,31.19,14.54,/,0.0
2020-12-09,653.69,654.32,588.0,604.48,71291432,69.89,44.5,33.85,10.65,/,0.0
2020-12-10,574.37,627.75,566.34,627.07,67084325,70.87,44.84,36.05,8.79,/,0.0
2020-12-11,615.01,624.0,596.8,609.99,46889974,69.2,43.23,37.49,5.74,/,0.0
2020-12-14,619.0,642.7499,610.2001,639.83,52040701,69.0,43.85,38.76,5.09,/,0.0
2020-12-15,643.28,646.9,623.8,633.25,45224283,63.7,43.32,39.67,3.65,/,0.0
2020-12-16,628.23,632.5,605.0,622.77,42133861,58.83,41.57,40.05,1.52,/,0.0
2020-12-17,628.19,658.82,619.5,655.6,56275864,61.75,42.34,40.51,1.83,/,0.0
2020-12-18,668.9,695.0,628.54,658.34,234609204,66.11,42.68,40.94,1.74,/,0.0
2020-12-21,666.24,668.5,646.07,649.86,58063248,61.92,41.79,41.11,0.68,/,0.0
2020-12-22,648.0,649.88,614.23,640.34,51891142,63.41,39.86,40.86,-1.0,/,0.0
2020-12-23,632.2,651.4999,622.5701,645.98,33172997,60.62,38.34,40.36,-2.02,/,0.0
2020-12-24,642.99,666.09,641.0,661.77,22865568,62.17,37.97,39.88,-1.91,/,0.0
2020-12-28,674.51,681.4,660.8,663.69,32278861,55.05,37.4,39.38,-1.98,/,0.0
2020-12-29,661.0,669.9,655.0,665.99,22910816,53.81,36.72,38.85,-2.13,/,0.0
2020-12-30,672.0,696.6,668.3603,694.78,42846121,73.2,38.06,38.69,-0.63,/,0.0
2020-12-31,700.0,718.72,691.12,705.67,49650155,71.49,39.55,38.86,0.69,/,0.0
